Ref	Traits	MeSH_Term	MeSH_ID	MeSH_Tree	MeSH_Cat	MeSH_Group	MeSH_Anatomy	MeSH_Anatomy_Category	Ref-Category	Note
Chang 2019	Motor neuron disease	Motor Neuron Disease	D016472	C10.574.562	Disease	Nervous System Diseases	Motor Neurons	Nervous System	Neurological disorders	-
Chang 2019	Lip and oral cavity cancer	Mouth Neoplasms	D009062	C04.588.443.591	Disease	Neoplasms	Mouth	Body Regions	Neoplasms	-
Kim 2021	Multiple myeloma	Multiple Myeloma	D009101	C04.557.595.500	Disease	Neoplasms	Blood Cells	Hemic and Immune Systems	Neoplasms	GWAS=EFO_0001378; Phecode=204.4
Chang 2019	Multiple myeloma	Multiple Myeloma	D009101	C04.557.595.500	Disease	Neoplasms	Blood Cells	Hemic and Immune Systems	Neoplasms	-
Kim 2021	Muscular wasting and disuse atrophy	Muscular Atrophy	D009133	C10.597.613.612	Disease	Nervous System Diseases	"Muscle, Skeletal"	Musculoskeletal System	Nervous System Diseases	GWAS=-; Phecode=772.1
Kim 2021	Abnormal findings on radiological exam of musculoskeletal system	Musculoskeletal System	D009141	A02	Anatomy	Anatomy	Unspecified	Unspecified	Anatomy	GWAS=-; Phecode=793
Chang 2019	"Myelodysplastic, myeloproliferative, and other hematopoietic neoplasms"	Myeloproliferative Disorders	D009196	C15.378.190.636	Disease	Hemic and Lymphatic Diseases	Blood Cells	Hemic and Immune Systems	Neoplasms	Not-equivalent
Kim 2021	Myeloproliferative disease	Myeloproliferative Disorders	D009196	C15.378.190.636	Disease	Hemic and Lymphatic Diseases	Blood Cells	Hemic and Immune Systems	Hemic and Lymphatic Diseases	GWAS=-; Phecode=200
Donertas 2020	Heart attack/myocardial infarction	Myocardial Infarction	D009203	C14.280.647.500	Disease	Cardiovascular Diseases	Heart	Cardiovascular System	cardiovascular	Age-of-onset Cluster=1; -
Kim 2021	Myocardial infarction	Myocardial Infarction	D009203	C14.280.647.500	Disease	Cardiovascular Diseases	Heart	Cardiovascular System	Cardiovascular Diseases	GWAS=EFO_0000612; Phecode=411.2
Kim 2021	Chronic ischemic heart disease	Myocardial Ischemia	D017202	C14.280.647	Disease	Cardiovascular Diseases	Heart	Cardiovascular System	Cardiovascular Diseases	GWAS=-; Phecode=411.8
Chang 2019	Ischaemic heart disease	Myocardial Ischemia	D017202	C14.280.647	Disease	Cardiovascular Diseases	Heart	Cardiovascular System	Cardiovascular diseases	-
Kim 2021	Ischemic heart disease	Myocardial Ischemia	D017202	C14.280.647	Disease	Cardiovascular Diseases	Heart	Cardiovascular System	Cardiovascular Diseases	GWAS=-; Phecode=411
Kim 2021	Other acute and subacute forms of ischemic heart disease	Myocardial Ischemia	D017202	C14.280.647	Disease	Cardiovascular Diseases	Heart	Cardiovascular System	Cardiovascular Diseases	GWAS=-; Phecode=411.9
Chang 2019	Myocarditis	Myocarditis	D009205	C14.280.238.625	Disease	Cardiovascular Diseases	Heart	Cardiovascular System	Cardiovascular diseases	-
Johnson 2015	Myopia	Myopia	D009216	C11.744.636	Disease	Eye Diseases	Eye	Sense Organs	-	GWAS=HP_0000545; Phecode=367.1
Johnson 2015	Pathological myopia	"Myopia, Degenerative"	D047728	C11.744.636.500	Disease	Eye Diseases	Eye	Sense Organs	-	GWAS=EFO_0004207; Phecode=-
Kim 2021	Nasal polyps	Nasal Polyps	D009298	C08.460.572	Disease	Respiratory Tract Diseases	Nose	Respiratory System	Respiratory Tract Diseases	GWAS=-; Phecode=471
Kim 2021	"Cancer, suspected or other"	Neoplasms	D009369	C04	Disease	Neoplasms	Unspecified	Unspecified	Neoplasms	GWAS=-; Phecode=195
Kim 2021	"Malignant neoplasm, other"	Neoplasms	D009369	C04	Disease	Neoplasms	Unspecified	Unspecified	Neoplasms	GWAS=-; Phecode=195.1
Kim 2021	Neoplasm of uncertain behavior	Neoplasms	D009369	C04	Disease	Neoplasms	Unspecified	Unspecified	Neoplasms	GWAS=-; Phecode=199
Chang 2019	Other benign and in-situ neoplasms	Neoplasms	D009369	C04	Disease	Neoplasms	Unspecified	Unspecified	Neoplasms	-
Chang 2019	Other malignant neoplasms	Neoplasms	D009369	C04	Disease	Neoplasms	Unspecified	Unspecified	Neoplasms	-
Kim 2021	Secondary malignant neoplasm	"Neoplasms, Second Primary"	D016609	C04.692	Disease	Neoplasms	Unspecified	Unspecified	Neoplasms	GWAS=-; Phecode=198
Kim 2021	Nephritis & nephropathy	Nephritis	D009393	C12.777.419.570	Disease	Male Urogenital Diseases	Kidney	Urogenital System	Male Urogenital Diseases	GWAS=-; Phecode=580.32
Kim 2021	Nephritis and nephropathy in diseases classified elsewhere	Nephritis	D009393	C12.777.419.570	Disease	Male Urogenital Diseases	Kidney	Urogenital System	Male Urogenital Diseases	GWAS=-; Phecode=580.31
Kim 2021	Nephritis and nephropathy without mention of glomerulonephritis	Nephritis	D009393	C12.777.419.570	Disease	Male Urogenital Diseases	Kidney	Urogenital System	Male Urogenital Diseases	GWAS=-; Phecode=580.3
Kim 2021	Nephritis; nephrosis; renal sclerosis	Nephritis	D009393	C12.777.419.570	Disease	Male Urogenital Diseases	Kidney	Urogenital System	Male Urogenital Diseases	GWAS=-; Phecode=580
Kim 2021	Nephrotic syndrome without mention of glomerulonephritis	Nephrotic Syndrome	D009404	C12.777.419.630.643	Disease	Male Urogenital Diseases	Kidney	Urogenital System	Male Urogenital Diseases	GWAS=-; Phecode=580.2
Donertas 2020	Chronic/degenerative neurological problem	Neurodegenerative Diseases	D019636	C10.574	Disease	Nervous System Diseases	Spinal Cord	Nervous System	neurology/eye/psychiatry	Age-of-onset Cluster=2; -
Kim 2021	Degenerative disease of the spinal cord	Neurodegenerative Diseases	D019636	C10.574	Disease	Nervous System Diseases	Spinal Cord	Nervous System	Nervous System Diseases	GWAS=-; Phecode=334
Kim 2021	Neutropenia	Neutropenia	D009503	C15.378.553.546.184.564	Disease	Hemic and Lymphatic Diseases	Blood Cells	Hemic and Immune Systems	Hemic and Lymphatic Diseases	GWAS=MONDO_0001475; Phecode=288.11
Kim 2021	Obesity	Obesity	D009765	C18.654.726.500	Disease	Nutritional and Metabolic Diseases	Unspecified	Unspecified	Nutritional and Metabolic Diseases	GWAS=EFO_0001073; Phecode=278.1
Kim 2021	Morbid obesity	"Obesity, Morbid"	D009767	C18.654.726.500.700	Disease	Nutritional and Metabolic Diseases	Unspecified	Unspecified	Nutritional and Metabolic Diseases	GWAS=-; Phecode=278.11
Kim 2021	Paget's disease of bone	Osteitis Deformans	D010001	C05.116.692	Disease	Musculoskeletal Diseases	Bone and Bones	Musculoskeletal System	Musculoskeletal Diseases	GWAS=-; Phecode=731.1
Johnson 2015	Osteoarthritis	Osteoarthritis	D010003	C05.550.114.606	Disease	Musculoskeletal Diseases	Joints	Musculoskeletal System	-	GWAS=EFO_0002506; Phecode=-
Donertas 2020	Osteoarthritis	Osteoarthritis	D010003	C05.550.114.606	Disease	Musculoskeletal Diseases	Joints	Musculoskeletal System	musculoskeletal/trauma	Age-of-onset Cluster=2; -
Kim 2021	Osteoarthritis; localized	Osteoarthritis	D010003	C05.550.114.606	Disease	Musculoskeletal Diseases	Joints	Musculoskeletal System	Musculoskeletal Diseases	GWAS=-; Phecode=740.1
Kim 2021	Osteoarthrosis	Osteoarthritis	D010003	C05.550.114.606	Disease	Musculoskeletal Diseases	Joints	Musculoskeletal System	Musculoskeletal Diseases	GWAS=-; Phecode=740
Kim 2021	Osteoarthrosis NOS	Osteoarthritis	D010003	C05.550.114.606	Disease	Musculoskeletal Diseases	Joints	Musculoskeletal System	Musculoskeletal Diseases	GWAS=-; Phecode=740.9
Kim 2021	Osteoarthrosis of multiple sites	Osteoarthritis	D010003	C05.550.114.606	Disease	Musculoskeletal Diseases	Joints	Musculoskeletal System	Musculoskeletal Diseases	GWAS=-; Phecode=740.3
Kim 2021	"Osteoarthrosis, generalized"	Osteoarthritis	D010003	C05.550.114.606	Disease	Musculoskeletal Diseases	Joints	Musculoskeletal System	Musculoskeletal Diseases	GWAS=-; Phecode=740.2
Kim 2021	"Osteoarthrosis; localized, primary"	Osteoarthritis	D010003	C05.550.114.606	Disease	Musculoskeletal Diseases	Joints	Musculoskeletal System	Musculoskeletal Diseases	GWAS=-; Phecode=740.11
Kim 2021	"Osteoarthrosis; localized, secondary"	Osteoarthritis	D010003	C05.550.114.606	Disease	Musculoskeletal Diseases	Joints	Musculoskeletal System	Musculoskeletal Diseases	GWAS=-; Phecode=740.12
Kim 2021	Osteoporosis	Osteoporosis	D010024	C05.116.198.579	Disease	Musculoskeletal Diseases	Bone and Bones	Musculoskeletal System	Musculoskeletal Diseases	GWAS=EFO_0003882; Phecode=743.11
Donertas 2020	Osteoporosis	Osteoporosis	D010024	C05.116.198.579	Disease	Musculoskeletal Diseases	Bone and Bones	Musculoskeletal System	musculoskeletal/trauma	Age-of-onset Cluster=1; -
Kim 2021	"Osteoporosis, NOS or other"	Osteoporosis	D010024	C05.116.198.579	Disease	Musculoskeletal Diseases	Bone and Bones	Musculoskeletal System	Musculoskeletal Diseases	GWAS=-; Phecode=743.1
Kim 2021	Other specified osteoporosis	Osteoporosis	D010024	C05.116.198.579	Disease	Musculoskeletal Diseases	Bone and Bones	Musculoskeletal System	Musculoskeletal Diseases	GWAS=-; Phecode=743.13
Kim 2021	Malignant neoplasm of ovary	Ovarian Neoplasms	D010051	C04.588.322.455	Disease	Neoplasms	Ovary	Urogenital System	Neoplasms	GWAS=-; Phecode=184.11
Kim 2021	Ovarian cancer	Ovarian Neoplasms	D010051	C04.588.322.455	Disease	Neoplasms	Ovary	Urogenital System	Neoplasms	GWAS=-; Phecode=184.1
Chang 2019	Ovarian cancer	Ovarian Neoplasms	D010051	C04.588.322.455	Disease	Neoplasms	Ovary	Urogenital System	Neoplasms	-
Kim 2021	Ovarian carcinoma	Ovarian Neoplasms	D010051	C04.588.322.455	Disease	Neoplasms	Ovary	Urogenital System	Neoplasms	GWAS=EFO_0001075; Phecode=-
Kim 2021	Overweight	Overweight	D050177	C23.888.144.699	Disease	"Pathological Conditions, Signs and Symptoms"	Unspecified	Unspecified	"Pathological Conditions, Signs and Symptoms"	GWAS=-; Phecode=278
Kim 2021	Overweight body mass index status	Overweight	D050177	C23.888.144.699	Disease	"Pathological Conditions, Signs and Symptoms"	Unspecified	Unspecified	"Pathological Conditions, Signs and Symptoms"	GWAS=EFO_0005935; Phecode=-
Kim 2021	Cyst and pseudocyst of pancreas	Pancreatic Cyst	D010181	C04.182.640	Disease	Neoplasms	Pancreas	Digestive System	Neoplasms	GWAS=-; Phecode=577.3
Kim 2021	Pancreatic cancer	Pancreatic Neoplasms	D010190	C04.588.274.761	Disease	Neoplasms	Pancreas	Digestive System	Neoplasms	GWAS=-; Phecode=157
Chang 2019	Pancreatic cancer	Pancreatic Neoplasms	D010190	C04.588.274.761	Disease	Neoplasms	Pancreas	Digestive System	Neoplasms	-
Kim 2021	Pancreatic carcinoma	Pancreatic Neoplasms	D010190	C04.588.274.761	Disease	Neoplasms	Pancreas	Digestive System	Neoplasms	GWAS=EFO_0002618; Phecode=-
Kim 2021	Chronic pancreatitis	"Pancreatitis, Chronic"	D050500	C06.689.750.830	Disease	Digestive System Diseases	Pancreas	Digestive System	Digestive System Diseases	GWAS=-; Phecode=577.2
Chang 2019	Pancreatitis	"Pancreatitis, Chronic"	D050500	C06.689.750.830	Disease	Digestive System Diseases	Pancreas	Digestive System	Diabetes and kidney diseases	-
Kim 2021	Paraproteinemia	Paraproteinemias	D010265	C15.378.147.780	Disease	Hemic and Lymphatic Diseases	Blood Cells	Hemic and Immune Systems	Hemic and Lymphatic Diseases	GWAS=-; Phecode=270.32
Kim 2021	Parkinson's disease	Parkinson Disease	D010300	C10.228.140.079.862.500	Disease	Nervous System Diseases	Brain	Nervous System	Nervous System Diseases	GWAS=EFO_0002508; Phecode=332
Chang 2019	Parkinson's disease	Parkinson Disease	D010300	C10.228.140.079.862.500	Disease	Nervous System Diseases	Brain	Nervous System	Neurological disorders	-
Chang 2019	Peptic ulcer disease	Peptic Ulcer	D010437	C06.405.469.275.800	Disease	Digestive System Diseases	Stomach	Digestive System	Diabetes and kidney diseases	-
Kim 2021	Peripheral arterial disease	Peripheral Arterial Disease	D058729	C14.907.137.126.307.500	Disease	Cardiovascular Diseases	Blood Vessels	Cardiovascular System	Cardiovascular Diseases	GWAS=EFO_0004265; Phecode=443.9
Chang 2019	Peripheral artery disease	Peripheral Arterial Disease	D058729	C14.907.137.126.307.500	Disease	Cardiovascular Diseases	Blood Vessels	Cardiovascular System	Cardiovascular diseases	-
Kim 2021	"Neuralgia, neuritis, and radiculitis NOS"	Peripheral Nervous System Diseases	D010523	C10.668.829	Disease	Nervous System Diseases	Peripheral Nerves	Nervous System	Nervous System Diseases	GWAS=-; Phecode=766
Donertas 2020	Peripheral nerve disorder	Peripheral Nervous System Diseases	D010523	C10.668.829	Disease	Nervous System Diseases	Peripheral Nerves	Nervous System	neurology/eye/psychiatry	Age-of-onset Cluster=1; -
Kim 2021	Other specified peripheral vascular diseases	Peripheral Vascular Diseases	D016491	C14.907.617	Disease	Cardiovascular Diseases	Blood Vessels	Cardiovascular System	Cardiovascular Diseases	GWAS=-; Phecode=443.8
Kim 2021	Peripheral angiopathy in diseases classified elsewhere	Peripheral Vascular Diseases	D016491	C14.907.617	Disease	Cardiovascular Diseases	Blood Vessels	Cardiovascular System	Cardiovascular Diseases	GWAS=-; Phecode=443.7
Kim 2021	Peripheral vascular disease	Peripheral Vascular Diseases	D016491	C14.907.617	Disease	Cardiovascular Diseases	Blood Vessels	Cardiovascular System	Cardiovascular Diseases	GWAS=-; Phecode=443
Kim 2021	Phlebitis and thrombophlebitis	Phlebitis	D010689	C14.907.617.718	Disease	Cardiovascular Diseases	Blood Vessels	Cardiovascular System	Cardiovascular Diseases	GWAS=-; Phecode=451
Kim 2021	Phlebitis and thrombophlebitis of lower extremities	Phlebitis	D010689	C14.907.617.718	Disease	Cardiovascular Diseases	Blood Vessels	Cardiovascular System	Cardiovascular Diseases	GWAS=-; Phecode=451.2
Kim 2021	Calcium/Phosphorus disorders	Phosphorus Metabolism Disorders	D010760	C18.452.750	Disease	Nutritional and Metabolic Diseases	Unspecified	Unspecified	Nutritional and Metabolic Diseases	GWAS=-; Phecode=275.5
Kim 2021	Pleurisy; pleural effusion	Pleurisy	D010998	C01.748.582	Disease	Infections	Thorax	Body Regions	Infections	GWAS=-; Phecode=507
Chang 2019	Other pneumoconiosis	Pneumoconiosis	D011009	C08.381.483.581	Disease	Respiratory Tract Diseases	Lung	Respiratory System	Chronic respiratory diseases	-
Johnson 2015	Other pulmonary inflammation or edema	Pneumonia	D011014	C01.748.610	Disease	Infections	Lung	Respiratory System	-	GWAS=-; Phecode=505
Kim 2021	Empyema and pneumothorax	Pneumothorax	D011030	C08.528.778	Disease	Respiratory Tract Diseases	Lung	Respiratory System	Respiratory Tract Diseases	GWAS=-; Phecode=506
Kim 2021	Polycythemia vera	Polycythemia Vera	D011087	C04.588.448.200.500	Disease	Neoplasms	Blood Cells	Hemic and Immune Systems	Neoplasms	GWAS=-; Phecode=200.1
Kim 2021	"Polycythemia vera, secondary"	Polycythemia Vera	D011087	C04.588.448.200.500	Disease	Neoplasms	Blood Cells	Hemic and Immune Systems	Neoplasms	GWAS=-; Phecode=289.8
Kim 2021	Polymyalgia Rheumatica	Polymyalgia Rheumatica	D011111	C05.651.742	Disease	Musculoskeletal Diseases	Joints	Musculoskeletal System	Musculoskeletal Diseases	GWAS=-; Phecode=717
Kim 2021	Dermatomyositis and Polymyositis	Polymyositis	D017285	C05.651.594.819	Disease	Musculoskeletal Diseases	Connective Tissue	Connective Tissue	Musculoskeletal Diseases	GWAS=-; Phecode=709.4
Kim 2021	Inflammatory and toxic neuropathy	Polyneuropathies	D011115	C10.668.829.800	Disease	Nervous System Diseases	Peripheral Nerves	Nervous System	Nervous System Diseases	GWAS=-; Phecode=357
Kim 2021	Polyneuropathy in diabetes	Polyneuropathies	D011115	C10.668.829.800	Disease	Nervous System Diseases	Peripheral Nerves	Nervous System	Nervous System Diseases	GWAS=-; Phecode=250.6
Kim 2021	Anal and rectal polyp	Polyps	D011127	C23.300.825	Disease	"Pathological Conditions, Signs and Symptoms"	Anal Canal	Digestive System	"Pathological Conditions, Signs and Symptoms"	GWAS=-; Phecode=565.1
Kim 2021	Frequency of urination and polyuria	Polyuria	D011141	C12.777.934.616	Disease	Male Urogenital Diseases	Urine	Fluids and Secretions	Male Urogenital Diseases	GWAS=-; Phecode=599.5
Kim 2021	Menopausal & postmenopausal disorders	Postmenopause	D017698	G08.686.157.500.625	Phenomena	Phenomena	Ovary	Urogenital System	Phenomena	GWAS=-; Phecode=627
Kim 2021	Postoperative infection	Postoperative Complications	D011183	C23.550.767	Disease	"Pathological Conditions, Signs and Symptoms"	Unspecified	Unspecified	"Pathological Conditions, Signs and Symptoms"	GWAS=-; Phecode=80
Kim 2021	Acute lymphoblastic leukemia	Precursor Cell Lymphoblastic Leukemia-Lymphoma	D054198	C04.557.337.428.600	Disease	Neoplasms	Blood Cells	Hemic and Immune Systems	Neoplasms	GWAS=EFO_0000220; Phecode=-
Kim 2021	Impaired fasting glucose	Prediabetic State	D011236	C18.452.394.750.774	Disease	Nutritional and Metabolic Diseases	Serum	Fluids and Secretions	Nutritional and Metabolic Diseases	GWAS=-; Phecode=250.41
Kim 2021	Age-related hearing impairment	Presbycusis	D011304	C09.218.458.341.887.772	Disease	Otorhinolaryngologic Diseases	Ear	Sense Organs	Otorhinolaryngologic Diseases	GWAS=EFO_0005782; Phecode=-
Chang 2019	Decubitus ulcer	Pressure Ulcer	D003668	C17.800.893.665	Disease	Skin and Connective Tissue Diseases	Skin	Integumentary System	Skin and subcutaneous diseases	-
Kim 2021	Elevated prostate specific antigen	Prostate-Specific Antigen	D017430	D08.811.277.656.300.760.442.750	Chemical	Chemical	Prostate	Urogenital System	Chemical	GWAS=-; Phecode=796
Kim 2021	Other disorders of prostate	Prostatic Diseases	D011469	C12.294.565	Disease	Male Urogenital Diseases	Prostate	Urogenital System	Male Urogenital Diseases	GWAS=-; Phecode=602
Kim 2021	Benign prostatic hyperplasia	Prostatic Hyperplasia	D011470	C12.294.565.500	Disease	Male Urogenital Diseases	Prostate	Urogenital System	Male Urogenital Diseases	GWAS=EFO_0000284; Phecode=-
Kim 2021	Hyperplasia of prostate	Prostatic Hyperplasia	D011470	C12.294.565.500	Disease	Male Urogenital Diseases	Prostate	Urogenital System	Male Urogenital Diseases	GWAS=-; Phecode=600
Kim 2021	Prostate cancer	Prostatic Neoplasms	D011471	C04.588.945.440.770	Disease	Neoplasms	Prostate	Urogenital System	Neoplasms	GWAS=-; Phecode=185
Chang 2019	Prostate cancer	Prostatic Neoplasms	D011471	C04.588.945.440.770	Disease	Neoplasms	Prostate	Urogenital System	Neoplasms	-
Kim 2021	Prostate carcinoma	Prostatic Neoplasms	D011471	C04.588.945.440.770	Disease	Neoplasms	Prostate	Urogenital System	Neoplasms	GWAS=EFO_0001663; Phecode=-
Kim 2021	Chronic prostatitis	Prostatitis	D011472	C12.294.565.750	Disease	Male Urogenital Diseases	Prostate	Urogenital System	Male Urogenital Diseases	GWAS=-; Phecode=601.12
Kim 2021	Inflammatory diseases of prostate	Prostatitis	D011472	C12.294.565.750	Disease	Male Urogenital Diseases	Prostate	Urogenital System	Male Urogenital Diseases	GWAS=-; Phecode=601
Kim 2021	Proteinuria	Proteinuria	D011507	C12.777.934.734	Disease	Male Urogenital Diseases	Urine	Fluids and Secretions	Male Urogenital Diseases	GWAS=HP_0000093; Phecode=269
Kim 2021	Prurigo	Prurigo	D011536	C17.800.674	Disease	Skin and Connective Tissue Diseases	Skin	Integumentary System	Skin and Connective Tissue Diseases	GWAS=-; Phecode=695.7
Kim 2021	Psoriasis	Psoriasis	D011565	C17.800.859.675	Disease	Skin and Connective Tissue Diseases	Skin	Integumentary System	Skin and Connective Tissue Diseases	GWAS=EFO_0000676; Phecode=696.4
Kim 2021	Psoriasis & related disorders	Psoriasis	D011565	C17.800.859.675	Disease	Skin and Connective Tissue Diseases	Skin	Integumentary System	Skin and Connective Tissue Diseases	GWAS=-; Phecode=696
Kim 2021	Psoriasis vulgaris	Psoriasis	D011565	C17.800.859.675	Disease	Skin and Connective Tissue Diseases	Skin	Integumentary System	Skin and Connective Tissue Diseases	GWAS=EFO_1001494; Phecode=696.41
Kim 2021	Chronic airway obstruction	"Pulmonary Disease, Chronic Obstructive"	D029424	C08.381.495.389	Disease	Respiratory Tract Diseases	Lung	Respiratory System	Respiratory Tract Diseases	GWAS=-; Phecode=496
Chang 2019	Chronic obstructive pulmonary disease	"Pulmonary Disease, Chronic Obstructive"	D029424	C08.381.495.389	Disease	Respiratory Tract Diseases	Lung	Respiratory System	Chronic respiratory diseases	-
Kim 2021	Chronic obstructive pulmonary disease	"Pulmonary Disease, Chronic Obstructive"	D029424	C08.381.495.389	Disease	Respiratory Tract Diseases	Lung	Respiratory System	Respiratory Tract Diseases	GWAS=EFO_0000341; Phecode=-
Donertas 2020	Pulmonary embolism +/- dvt	Pulmonary Embolism	D011655	C08.381.746	Disease	Respiratory Tract Diseases	Blood Vessels	Cardiovascular System	cardiovascular	Age-of-onset Cluster=2; -
Chang 2019	Pyoderma	Pyoderma	D011711	C17.800.695	Disease	Skin and Connective Tissue Diseases	Skin	Integumentary System	Skin and subcutaneous diseases	-
Kim 2021	Cervical radiculitis	Radiculopathy	D011843	C10.668.829.820	Disease	Nervous System Diseases	Spinal Cord	Nervous System	Nervous System Diseases	GWAS=-; Phecode=765
Chang 2019	Refraction disorders	Refractive Errors	D012030	C11.744	Disease	Eye Diseases	Eye	Sense Organs	Sense organ diseases	-
Kim 2021	Abnormal kidney function	Renal Insufficiency	D051437	C12.777.419.780	Disease	Male Urogenital Diseases	Kidney	Urogenital System	Male Urogenital Diseases	GWAS=-; Phecode=589
Kim 2021	Disorders resulting from impaired renal function	Renal Insufficiency	D051437	C12.777.419.780	Disease	Male Urogenital Diseases	Kidney	Urogenital System	Male Urogenital Diseases	GWAS=-; Phecode=588
Kim 2021	Renal failure	Renal Insufficiency	D051437	C12.777.419.780	Disease	Male Urogenital Diseases	Kidney	Urogenital System	Male Urogenital Diseases	GWAS=-; Phecode=585
Kim 2021	Renal failure NOS	Renal Insufficiency	D051437	C12.777.419.780	Disease	Male Urogenital Diseases	Kidney	Urogenital System	Male Urogenital Diseases	GWAS=-; Phecode=585.2
Donertas 2020	Renal/urology	Renal Insufficiency	D051437	C12.777.419.780	Disease	Male Urogenital Diseases	Kidney	Urogenital System	renal/urology	Age-of-onset Cluster=1; -
Kim 2021	Chronic kidney disease	"Renal Insufficiency, Chronic"	D051436	C12.777.419.780.750	Disease	Male Urogenital Diseases	Kidney	Urogenital System	Male Urogenital Diseases	GWAS=EFO_0003884; Phecode=-
Kim 2021	"Chronic kidney disease, Stage I or II"	"Renal Insufficiency, Chronic"	D051436	C12.777.419.780.750	Disease	Male Urogenital Diseases	Kidney	Urogenital System	Male Urogenital Diseases	GWAS=-; Phecode=585.4
Donertas 2020	Other respiratory problems	Respiratory Insufficiency	D012131	C08.618.846	Disease	Respiratory Tract Diseases	Lung	Respiratory System	respiratory/ent	Age-of-onset Cluster=2; -
Kim 2021	Respiratory failure	Respiratory Insufficiency	D012131	C08.618.846	Disease	Respiratory Tract Diseases	Lung	Respiratory System	Respiratory Tract Diseases	GWAS=-; Phecode=509.1
Kim 2021	Respiratory failure; insufficiency; arrest	Respiratory Insufficiency	D012131	C08.618.846	Disease	Respiratory Tract Diseases	Lung	Respiratory System	Respiratory Tract Diseases	GWAS=-; Phecode=509
Kim 2021	Respiratory insufficiency	Respiratory Insufficiency	D012131	C08.618.846	Disease	Respiratory Tract Diseases	Lung	Respiratory System	Respiratory Tract Diseases	GWAS=-; Phecode=509.2
Johnson 2015	Pulmonary function measurement	Respiratory Physiological Phenomena	D012143	G09.772	Phenomena	Phenomena	Lung	Respiratory System	-	GWAS=EFO_0003892; Phecode=-
Chang 2019	Lower respiratory infections	Respiratory Tract Infections	D012141	C01.748	Disease	Infections	Respiratory System	Respiratory System	"Communicable, maternal, neonatal, and nutritional diseases"	-
Kim 2021	Cancer within the respiratory system	Respiratory Tract Neoplasms	D012142	C04.588.894.797	Disease	Neoplasms	Lung	Respiratory System	Neoplasms	GWAS=-; Phecode=165
Kim 2021	Peripheral retinal degenerations	Retinal Degeneration	D012162	C11.270.612	Disease	Eye Diseases	Eye	Sense Organs	Eye Diseases	GWAS=-; Phecode=362.6
Kim 2021	Retinal drusen	Retinal Drusen	D015593	C11.768.585.585	Disease	Eye Diseases	Eye	Sense Organs	Eye Diseases	GWAS=-; Phecode=362.27
Donertas 2020	Retinal problem	Retinal Drusen	D015593	C11.768.585.585	Disease	Eye Diseases	Eye	Sense Organs	neurology/eye/psychiatry	Age-of-onset Cluster=1; -
Kim 2021	Chronic rheumatic disease of the heart valves	Rheumatic Heart Disease	D012214	C01.150.252.410.890.731.649	Disease	Infections	Heart	Cardiovascular System	Infections	GWAS=-; Phecode=394
Kim 2021	Other rheumatic heart disease	Rheumatic Heart Disease	D012214	C01.150.252.410.890.731.649	Disease	Infections	Heart	Cardiovascular System	Infections	GWAS=-; Phecode=394.4
Donertas 2020	Sciatica	Sciatica	D012585	C10.668.829.500.675.800	Disease	Nervous System Diseases	Spinal Cord	Nervous System	musculoskeletal/trauma	Age-of-onset Cluster=2; -
Kim 2021	Scleritis and episcleritis	Scleritis	D015423	C11.790.500	Disease	Eye Diseases	Eye	Sense Organs	Eye Diseases	GWAS=-; Phecode=379.1
Chang 2019	Other sense organ diseases	Sensation Disorders	D012678	C10.597.751	Disease	Nervous System Diseases	Sense Organs	Sense Organs	Sense organ diseases	-
Kim 2021	Sinoatrial node dysfunction	Sick Sinus Syndrome	D012804	C14.280.067.093.249	Disease	Cardiovascular Diseases	Heart	Cardiovascular System	Cardiovascular Diseases	GWAS=-; Phecode=427.8
Chang 2019	Silicosis	Silicosis	D012829	C08.381.483.581.760	Disease	Respiratory Tract Diseases	Lung	Respiratory System	Chronic respiratory diseases	-
Kim 2021	Sicca syndrome	Sjogren's Syndrome	D012859	C05.550.114.154.774	Disease	Musculoskeletal Diseases	Salivary Glands	Digestive System	Musculoskeletal Diseases	GWAS=-; Phecode=709.2
Kim 2021	Sjogren syndrome	Sjogren's Syndrome	D012859	C05.550.114.154.774	Disease	Musculoskeletal Diseases	Salivary Glands	Digestive System	Musculoskeletal Diseases	GWAS=EFO_0000699; Phecode=-
Chang 2019	Other skin and subcutaneous diseases	Skin Diseases	D012871	C17.800	Disease	Skin and Connective Tissue Diseases	Skin	Integumentary System	Skin and subcutaneous diseases	-
Kim 2021	Bullous dermatoses	"Skin Diseases, Vesiculobullous"	D012872	C17.800.865	Disease	Skin and Connective Tissue Diseases	Skin	Integumentary System	Skin and Connective Tissue Diseases	GWAS=-; Phecode=695.2
Kim 2021	Carcinoma in situ of skin	Skin Neoplasms	D012878	C04.588.805	Disease	Neoplasms	Skin	Integumentary System	Neoplasms	GWAS=-; Phecode=172.3
Kim 2021	Non-Melanoma skin cancer	Skin Neoplasms	D012878	C04.588.805	Disease	Neoplasms	Skin	Integumentary System	Neoplasms	GWAS=-; Phecode=172.2
Chang 2019	Non-melanoma skin cancer (basal-cell carcinoma)	Skin Neoplasms	D012878	C04.588.805	Disease	Neoplasms	Skin	Integumentary System	Neoplasms	Not-equivalent
Chang 2019	Non-melanoma skin cancer (squamous-cell carcinoma)	Skin Neoplasms	D012878	C04.588.805	Disease	Neoplasms	Skin	Integumentary System	Neoplasms	Not-equivalent
